sample_id,source_sample,q1,q2,r1,theta_q1,theta_q2,theta_r,p_trace,spec_cost_old,spec_cost_new,spec_improvement_ratio
0,sample_000000,0.01,0.01,0.001,-2.0,-2.0,-3.0,0.03424829471677154,0.5175122223861979,0.06837585752848727,7.568639591402389
1,sample_000001,0.01,0.01,0.001,-2.0,-2.0,-3.0,0.03424829471677154,0.5638463958455973,0.11451172291470527,4.923918542956354
2,sample_000002,0.01,0.01,0.001,-2.0,-2.0,-3.0,0.03424829471677154,0.6255889820736187,0.3259669780839523,1.919179009330507
3,sample_000003,0.01,0.01,0.001,-2.0,-2.0,-3.0,0.03424829471677154,0.44050998108438855,0.051242470569473786,8.596579676757615
4,sample_000004,0.1,0.1,0.01,-1.0,-1.0,-2.0,0.3424829471677156,0.752336469716308,0.02991378399262053,25.150160538095175
5,sample_000005,0.01,0.01,0.001,-2.0,-2.0,-3.0,0.03424829471677154,0.5104574568503903,0.0614134161671505,8.311823192851948
6,sample_000006,0.15703835256527957,0.1234870786239134,0.993664779319859,-0.8039942694164637,-0.9083784835048734,-0.0027601035764135418,0.48574562242456165,0.800894776157901,0.23047678689098602,3.474947681116011
7,sample_000007,0.01,0.01,0.001,-2.0,-2.0,-3.0,0.03424829471677154,0.34344907162673244,0.0375010366526856,9.158388734892123
8,sample_000008,0.01,0.01,0.001,-2.0,-2.0,-3.0,0.03424829471677154,0.36555228968910614,0.06650566137235911,5.496558971760499
9,sample_000009,0.1,0.1,0.01,-1.0,-1.0,-2.0,0.3424829471677156,0.5773915209292166,0.02408804990714313,23.97004004703575
10,sample_000010,0.01,0.01,0.001,-2.0,-2.0,-3.0,0.03424829471677154,0.6829651588069862,0.08717363548436367,7.834537988604245
11,sample_000011,0.06398238947947223,0.07263362065402722,0.006643805449587342,-1.1939395448337882,-1.1388623065081234,-2.1775830934704548,0.23270976507191213,0.8114684794323521,0.08587827180355073,9.449054602409932
12,sample_000012,0.01,0.01,0.001,-2.0,-2.0,-3.0,0.03424829471677154,0.37643402494337025,0.0763607556742012,4.929679147616792
13,sample_000013,0.1,0.1,0.01,-1.0,-1.0,-2.0,0.3424829471677156,0.7201936028335651,0.3667626954368508,1.9636500979897724
14,sample_000014,0.01,0.01,0.001,-2.0,-2.0,-3.0,0.03424829471677154,0.46064235380326046,0.16168776149474348,2.8489624047286726
15,sample_000015,0.01,0.01,0.001,-2.0,-2.0,-3.0,0.026558938717694193,0.327177925102898,0.0034007767109155086,96.2068235920199
16,sample_000016,3.4963092466787846,0.18409320658078066,0.21864874967139333,0.54360983877541,-0.7349622375628861,-0.6602530017966775,4.259057664140457,0.9714888053494064,0.17894882851426386,5.428863733924751
