sample_id,model_idx,scenario_idx,success,reason
24,0,24,False,Rejected by quality filter
37,0,37,False,Rejected by quality filter
62,1,22,False,Rejected by quality filter
80,2,0,False,Rejected by quality filter
89,2,9,False,Rejected by quality filter
106,2,26,False,Rejected by quality filter
108,2,28,False,Rejected by quality filter
109,2,29,False,Rejected by quality filter
122,3,2,False,Rejected by quality filter
125,3,5,False,Rejected by quality filter
155,3,35,False,Rejected by quality filter
170,4,10,False,Rejected by quality filter
191,4,31,False,Rejected by quality filter
192,4,32,False,Rejected by quality filter
195,4,35,False,Rejected by quality filter
209,5,9,False,Rejected by quality filter
226,5,26,False,Rejected by quality filter
236,5,36,False,Rejected by quality filter
237,5,37,False,Rejected by quality filter
244,6,4,False,Rejected by quality filter
263,6,23,False,Rejected by quality filter
302,7,22,False,Rejected by quality filter
303,7,23,False,Rejected by quality filter
314,7,34,False,Rejected by quality filter
349,8,29,False,Rejected by quality filter
373,9,13,False,Rejected by quality filter
396,9,36,False,Rejected by quality filter
410,10,10,False,Rejected by quality filter
419,10,19,False,Rejected by quality filter
438,10,38,False,Rejected by quality filter
446,11,6,False,Rejected by quality filter
467,11,27,False,Rejected by quality filter
468,11,28,False,Rejected by quality filter
478,11,38,False,Rejected by quality filter
513,12,33,False,Rejected by quality filter
519,12,39,False,Rejected by quality filter
539,13,19,False,Rejected by quality filter
548,13,28,False,Rejected by quality filter
563,14,3,False,Rejected by quality filter
575,14,15,False,Rejected by quality filter
581,14,21,False,Rejected by quality filter
594,14,34,False,Rejected by quality filter
597,14,37,False,Rejected by quality filter
603,15,3,False,Rejected by quality filter
624,15,24,False,Rejected by quality filter
629,15,29,False,Rejected by quality filter
652,16,12,False,Rejected by quality filter
657,16,17,False,Rejected by quality filter
698,17,18,False,Rejected by quality filter
705,17,25,False,Rejected by quality filter
725,18,5,False,Rejected by quality filter
735,18,15,False,Rejected by quality filter
779,19,19,False,Rejected by quality filter
785,19,25,False,Rejected by quality filter
806,20,6,False,Rejected by quality filter
808,20,8,False,Rejected by quality filter
822,20,22,False,Rejected by quality filter
879,21,39,False,Rejected by quality filter
891,22,11,False,Rejected by quality filter
893,22,13,False,Rejected by quality filter
909,22,29,False,Rejected by quality filter
922,23,2,False,Rejected by quality filter
934,23,14,False,Rejected by quality filter
947,23,27,False,Rejected by quality filter
991,24,31,False,Rejected by quality filter
1006,25,6,False,Rejected by quality filter
1007,25,7,False,Rejected by quality filter
1009,25,9,False,Rejected by quality filter
1010,25,10,False,Rejected by quality filter
1012,25,12,False,Rejected by quality filter
1042,26,2,False,Rejected by quality filter
1049,26,9,False,Rejected by quality filter
1055,26,15,False,Rejected by quality filter
1076,26,36,False,Rejected by quality filter
1078,26,38,False,Rejected by quality filter
1100,27,20,False,Rejected by quality filter
1102,27,22,False,Rejected by quality filter
1115,27,35,False,Rejected by quality filter
1130,28,10,False,Rejected by quality filter
1136,28,16,False,Rejected by quality filter
1145,28,25,False,Rejected by quality filter
1184,29,24,False,Rejected by quality filter
1201,30,1,False,Rejected by quality filter
1221,30,21,False,Rejected by quality filter
1222,30,22,False,Rejected by quality filter
1241,31,1,False,Rejected by quality filter
